checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target_label
>=200,-0.9046043153555399,critical/other existing credit,new car,-0.8826554415483374,<100,>=7,0.9184771676276685,male single,none,1.0469866784197936,no known property,2.4146466692238966,none,for free,1.0270789116578085,skilled,-0.4282895663715403,1.0,1,1
<0,-0.738667542842371,existing paid,furniture/equipment,-0.572163048070897,<100,1<=X<4,-0.8701833340815202,male single,none,-0.7659772668958666,real estate,-0.7516416709837335,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,0.2569530922366421,existing paid,business,0.4677738040555983,>=1000,1<=X<4,-0.8701833340815202,male single,none,0.1405047057619635,life insurance,1.6230745841719891,none,own,2.7590838217047033,high qualif/self emp/mgmt,-0.4282895663715403,1.0,1,0
<0,0.2569530922366421,existing paid,used car,-0.10890556145558368,no known savings,>=7,0.9184771676276685,male single,none,1.0469866784197936,no known property,1.1833123146987072,bank,for free,-0.7049259983890862,skilled,2.3348689263480744,1.0,1,1
<0,-0.2408572253028645,critical/other existing credit,radio/tv,-0.4931221762153386,<100,4<=X<7,0.9184771676276685,male mar/wid,none,-1.6724592395536968,life insurance,-0.3118794015104515,none,own,1.0270789116578085,high qualif/self emp/mgmt,-0.4282895663715403,1.0,1,1
<0,0.2569530922366421,existing paid,radio/tv,-0.5133254483936652,<100,unemployed,0.9184771676276685,male single,none,-0.7659772668958666,car,-0.4877843092997643,stores,own,-0.7049259983890862,high qualif/self emp/mgmt,2.3348689263480744,nan,1,0
0<=X<200,0.2569530922366421,existing paid,used car,-0.18121200925169992,no known savings,>=7,0.9184771676276685,male single,none,1.0469866784197936,no known property,0.03993041406817406,bank,for free,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,1
no checking,-0.4897623840726178,existing paid,furniture/equipment,-0.3722569865169286,500<=X<1000,1<=X<4,-0.8701833340815202,female div/dep/mar,none,1.0469866784197936,car,-1.3673088482463283,none,rent,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
<0,0.2569530922366421,existing paid,radio/tv,0.13778702514293056,<100,1<=X<4,-0.8701833340815202,female div/dep/mar,none,1.0469866784197936,car,-0.6636892170890771,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,-1.2364778603818776,critical/other existing credit,radio/tv,-0.486742195527446,no known savings,1<=X<4,-1.7645135849361147,male single,none,-0.7659772668958666,real estate,-0.13597449372113873,none,own,1.0270789116578085,unskilled resident,2.3348689263480744,nan,1,1
>=200,-0.2408572253028645,existing paid,furniture/equipment,-0.14434989861054262,<100,1<=X<4,-0.8701833340815202,male single,none,-1.6724592395536968,real estate,-0.13597449372113873,none,own,-0.7049259983890862,unskilled resident,2.3348689263480744,nan,1,0
<0,-0.738667542842371,existing paid,radio/tv,-0.9205808823041435,100<=X<500,4<=X<7,0.9184771676276685,male mar/wid,none,-1.6724592395536968,life insurance,-1.3673088482463283,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,0
no checking,0.7547634097761486,critical/other existing credit,radio/tv,0.8860169824841139,<100,4<=X<7,0.9184771676276685,female div/dep/mar,none,-0.7659772668958666,car,-0.9275465787730462,none,own,1.0270789116578085,skilled,-0.4282895663715403,nan,1,1
no checking,-0.2408572253028645,delayed previously,business,-0.39068804183750727,<100,1<=X<4,0.9184771676276685,male mar/wid,none,-0.7659772668958666,car,-0.6636892170890771,none,own,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,0
<0,0.2569530922366421,existing paid,furniture/equipment,-0.08870228927725708,<100,1<=X<4,-0.8701833340815202,male div/sep,none,-0.7659772668958666,real estate,-1.0154990326677027,none,rent,-0.7049259983890862,unskilled resident,-0.4282895663715403,nan,1,1
no checking,2.2481943623946683,critical/other existing credit,used car,-0.18440199959564624,no known savings,>=7,0.9184771676276685,male single,none,0.1405047057619635,car,0.21583532185748686,none,own,1.0270789116578085,skilled,2.3348689263480744,1.0,1,1
<0,0.7547634097761486,critical/other existing credit,used car,2.6057762212427216,<100,>=7,0.024146916773074168,male single,none,1.0469866784197936,no known property,0.21583532185748686,none,for free,2.7590838217047033,high qualif/self emp/mgmt,2.3348689263480744,1.0,1,1
<0,0.008047933466888799,existing paid,new car,0.17429469241253828,no known savings,4<=X<7,-0.8701833340815202,male single,co applicant,-0.7659772668958666,real estate,-1.0154990326677027,none,own,-0.7049259983890862,unskilled resident,-0.4282895663715403,nan,0,1
no checking,-0.738667542842371,existing paid,radio/tv,-0.4247146055062679,100<=X<500,1<=X<4,0.9184771676276685,female div/dep/mar,co applicant,-0.7659772668958666,real estate,-0.6636892170890771,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,-1.2364778603818776,existing paid,radio/tv,-0.4123090875020322,<100,4<=X<7,-0.8701833340815202,male mar/wid,none,-0.7659772668958666,real estate,-0.5757367631944207,none,rent,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
>=200,-0.738667542842371,existing paid,furniture/equipment,-0.6547483536419514,no known savings,>=7,0.024146916773074168,female div/dep/mar,none,1.0469866784197936,real estate,1.7110270380666455,none,own,-0.7049259983890862,high qualif/self emp/mgmt,-0.4282895663715403,1.0,1,1
<0,-0.2408572253028645,critical/other existing credit,furniture/equipment,-0.7876646179730474,<100,<1,0.9184771676276685,female div/dep/mar,none,1.0469866784197936,life insurance,-1.279356394351672,none,rent,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,-0.738667542842371,existing paid,business,-0.6129240357990998,<100,4<=X<7,-0.8701833340815202,male single,none,1.0469866784197936,car,0.03993041406817406,none,own,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,1
<0,-0.2408572253028645,existing paid,education,-0.8936431860663747,<100,unemployed,0.9184771676276685,female div/dep/mar,none,-1.6724592395536968,real estate,-0.7516416709837335,none,own,-0.7049259983890862,unemp/unskilled non res,-0.4282895663715403,nan,1,0
0<=X<200,-0.2408572253028645,existing paid,used car,3.4397814744989055,<100,unemployed,0.024146916773074168,female div/dep/mar,none,1.0469866784197936,no known property,0.21583532185748686,none,for free,-0.7049259983890862,high qualif/self emp/mgmt,-0.4282895663715403,1.0,1,0
<0,-0.9875727016121243,existing paid,new car,-0.6554572403850506,<100,<1,0.024146916773074168,male single,none,-0.7659772668958666,no known property,-0.7516416709837335,none,for free,-0.7049259983890862,high qualif/self emp/mgmt,-0.4282895663715403,1.0,1,0
<0,-0.4897623840726178,existing paid,furniture/equipment,-0.5055276942195742,<100,<1,0.9184771676276685,female div/dep/mar,guarantor,-1.6724592395536968,life insurance,0.919454953014738,none,rent,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
0<=X<200,0.5058582510063954,critical/other existing credit,radio/tv,-0.2662784184236014,500<=X<1000,1<=X<4,0.9184771676276685,male single,none,-0.7659772668958666,life insurance,-1.103451486562359,none,own,1.0270789116578085,unskilled resident,-0.4282895663715403,nan,1,0
0<=X<200,-0.4897623840726178,existing paid,radio/tv,-0.6476594862109596,no known savings,<1,0.9184771676276685,male single,none,-1.6724592395536968,life insurance,-1.103451486562359,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,-0.738667542842371,critical/other existing credit,furniture/equipment,-0.7135859533191833,<100,<1,-0.8701833340815202,female div/dep/mar,none,1.0469866784197936,life insurance,-1.1914039404570154,none,rent,1.0270789116578085,unskilled resident,-0.4282895663715403,nan,1,1
<0,0.2569530922366421,existing paid,radio/tv,-0.5913029901345749,<100,>=7,0.9184771676276685,female div/dep/mar,none,1.0469866784197936,car,1.7110270380666455,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,-0.2408572253028645,all paid,new car,1.1295195787386818,<100,>=7,-0.8701833340815202,male single,none,1.0469866784197936,no known property,0.3037877757521432,bank,own,1.0270789116578085,high qualif/self emp/mgmt,2.3348689263480744,1.0,1,0
0<=X<200,-0.2408572253028645,existing paid,business,-0.23012519452554325,100<=X<500,1<=X<4,0.9184771676276685,male single,none,1.0469866784197936,car,-0.13597449372113873,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
<0,0.2569530922366421,existing paid,furniture/equipment,0.3181987012616716,<100,1<=X<4,0.9184771676276685,male single,none,1.0469866784197936,life insurance,-0.6636892170890771,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
<0,1.2525737273156552,existing paid,new car,-0.506591024334223,<100,<1,0.9184771676276685,female div/dep/mar,none,1.0469866784197936,car,-0.13597449372113873,none,own,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,0
0<=X<200,0.2569530922366421,delayed previously,furniture/equipment,-0.3325593289033746,no known savings,<1,0.9184771676276685,male single,none,-0.7659772668958666,life insurance,-0.5757367631944207,bank,own,-0.7049259983890862,unskilled resident,-0.4282895663715403,nan,1,1
<0,-1.2364778603818776,all paid,education,-0.7348525556121586,<100,>=7,0.9184771676276685,female div/dep/mar,none,1.0469866784197936,no known property,-0.048022039826482336,none,for free,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,0
>=200,-0.738667542842371,critical/other existing credit,new car,-0.8266533888435023,500<=X<1000,4<=X<7,0.9184771676276685,male mar/wid,none,-0.7659772668958666,real estate,-0.6636892170890771,none,own,2.7590838217047033,skilled,-0.4282895663715403,1.0,1,0
0<=X<200,-1.0705410878687087,existing paid,radio/tv,-0.6582927873574473,<100,1<=X<4,0.9184771676276685,male single,guarantor,-0.7659772668958666,real estate,-0.22392694761579512,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,0,1
no checking,-1.2364778603818776,existing paid,education,-0.6143418092852982,<100,<1,-1.7645135849361147,female div/dep/mar,none,-0.7659772668958666,no known property,1.798979491961302,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
0<=X<200,-0.9875727016121243,existing paid,new car,-0.6104429321982527,no known savings,<1,0.9184771676276685,male single,none,-0.7659772668958666,real estate,-0.048022039826482336,none,own,-0.7049259983890862,unemp/unskilled non res,-0.4282895663715403,nan,1,1
0<=X<200,-0.4897623840726178,all paid,new car,-0.7114592930898858,100<=X<500,1<=X<4,-0.8701833340815202,male mar/wid,none,-0.7659772668958666,life insurance,-0.9275465787730462,none,rent,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,0
no checking,-0.4897623840726178,critical/other existing credit,furniture/equipment,-0.1712875948483114,<100,4<=X<7,-0.8701833340815202,female div/dep/mar,co applicant,0.1405047057619635,car,-1.0154990326677027,bank,own,1.0270789116578085,skilled,-0.4282895663715403,nan,1,1
no checking,-1.2364778603818776,existing paid,radio/tv,-0.9758740482658794,<100,1<=X<4,0.024146916773074168,female div/dep/mar,none,-1.6724592395536968,real estate,-0.5757367631944207,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,-0.9875727016121243,existing paid,domestic appliance,-0.7213837074932742,<100,<1,-1.7645135849361147,female div/dep/mar,none,1.0469866784197936,real estate,-1.103451486562359,none,rent,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,1
0<=X<200,-0.738667542842371,critical/other existing credit,used car,-0.5200598724531074,100<=X<500,<1,0.024146916773074168,male single,none,1.0469866784197936,life insurance,0.7435500452254252,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
>=200,-0.2408572253028645,existing paid,new car,-0.46441226311982187,<100,>=7,0.024146916773074168,female div/dep/mar,none,-0.7659772668958666,car,-1.103451486562359,none,own,-0.7049259983890862,high qualif/self emp/mgmt,-0.4282895663715403,nan,1,1
<0,2.165225976138084,existing paid,new car,2.6408661150261312,<100,<1,-1.7645135849361147,female div/dep/mar,none,-1.6724592395536968,real estate,-0.048022039826482336,none,own,-0.7049259983890862,unskilled resident,-0.4282895663715403,1.0,1,1
no checking,1.2525737273156552,delayed previously,furniture/equipment,1.5619404920291808,500<=X<1000,4<=X<7,-0.8701833340815202,female div/dep/mar,none,1.0469866784197936,car,0.3917402296467996,none,own,1.0270789116578085,skilled,-0.4282895663715403,1.0,1,1
<0,-0.2408572253028645,existing paid,radio/tv,-0.02880135948537647,<100,1<=X<4,-0.8701833340815202,female div/dep/mar,none,-0.7659772668958666,real estate,-1.0154990326677027,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,0
no checking,0.2569530922366421,existing paid,radio/tv,-0.6717616354763317,500<=X<1000,4<=X<7,0.9184771676276685,female div/dep/mar,none,-1.6724592395536968,car,-0.6636892170890771,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,-0.9875727016121243,existing paid,education,0.19875128504945994,no known savings,>=7,-1.7645135849361147,male single,none,1.0469866784197936,real estate,2.502599123118553,none,own,-0.7049259983890862,unskilled resident,-0.4282895663715403,nan,1,1
no checking,-0.738667542842371,existing paid,radio/tv,-0.8844276584060854,<100,1<=X<4,0.9184771676276685,male mar/wid,none,-0.7659772668958666,real estate,-0.6636892170890771,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,0.008047933466888799,critical/other existing credit,used car,0.0013263270963386306,<100,>=7,-1.7645135849361147,male single,none,1.0469866784197936,car,0.03993041406817406,none,own,-0.7049259983890862,high qualif/self emp/mgmt,-0.4282895663715403,1.0,1,1
0<=X<200,-0.738667542842371,critical/other existing credit,new car,-0.8199189647840601,<100,4<=X<7,-0.8701833340815202,male single,none,0.1405047057619635,real estate,1.0074074069093943,none,own,1.0270789116578085,unskilled resident,2.3348689263480744,nan,1,1
no checking,0.008047933466888799,existing paid,radio/tv,-0.039434660631864155,no known savings,>=7,0.9184771676276685,male single,none,0.1405047057619635,life insurance,0.479692683541456,none,own,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,1
<0,0.2569530922366421,existing paid,furniture/equipment,-0.013205851137194536,<100,<1,0.9184771676276685,female div/dep/mar,none,1.0469866784197936,real estate,-1.103451486562359,none,rent,-0.7049259983890862,unskilled resident,-0.4282895663715403,1.0,1,0
<0,-0.2408572253028645,existing paid,radio/tv,-0.6827493799943689,<100,1<=X<4,0.9184771676276685,male mar/wid,none,0.1405047057619635,real estate,-0.8395941248783899,bank,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,0
0<=X<200,0.2569530922366421,no credits/all paid,business,0.343718624013242,<100,1<=X<4,-1.7645135849361147,male single,none,1.0469866784197936,real estate,0.03993041406817406,none,own,2.7590838217047033,unskilled resident,-0.4282895663715403,1.0,1,0
no checking,-0.2408572253028645,existing paid,business,-0.6037085081388105,100<=X<500,1<=X<4,0.024146916773074168,female div/dep/mar,none,1.0469866784197936,life insurance,-1.0154990326677027,none,rent,-0.7049259983890862,unskilled resident,-0.4282895663715403,nan,1,1
<0,-0.2408572253028645,existing paid,radio/tv,-0.3127105000965976,<100,<1,0.9184771676276685,female div/dep/mar,none,-1.6724592395536968,car,-0.7516416709837335,stores,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
>=200,0.008047933466888799,existing paid,new car,-0.12343773968911685,100<=X<500,1<=X<4,-1.7645135849361147,female div/dep/mar,none,-1.6724592395536968,car,-0.6636892170890771,bank,own,-0.7049259983890862,high qualif/self emp/mgmt,-0.4282895663715403,1.0,1,1
<0,1.2525737273156552,existing paid,used car,1.7572387897530046,<100,1<=X<4,-0.8701833340815202,male single,none,-0.7659772668958666,life insurance,-0.8395941248783899,none,own,-0.7049259983890862,skilled,2.3348689263480744,nan,1,0
>=200,-0.9046043153555399,existing paid,furniture/equipment,-0.7075604160028403,<100,<1,0.9184771676276685,female div/dep/mar,none,-0.7659772668958666,life insurance,-1.103451486562359,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,0.2569530922366421,existing paid,used car,0.07682276523640118,100<=X<500,4<=X<7,0.024146916773074168,female div/dep/mar,none,1.0469866784197936,car,-1.103451486562359,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
0<=X<200,3.2438149974736814,existing paid,new car,1.4662407817107916,100<=X<500,<1,0.9184771676276685,female div/dep/mar,none,-0.7659772668958666,life insurance,-1.0154990326677027,none,own,-0.7049259983890862,high qualif/self emp/mgmt,-0.4282895663715403,nan,1,0
no checking,-0.4897623840726178,delayed previously,used car,0.11439376262065766,<100,<1,-1.7645135849361147,female div/dep/mar,none,-0.7659772668958666,life insurance,0.919454953014738,none,own,1.0270789116578085,unskilled resident,-0.4282895663715403,nan,1,1
